description,biddable,startprice,condition,cellular,carrier,color,storage,productline,UniqueID,retailprice
ITEM IS BRAND NEW AND NEVER TAKEN OUT OF FACTORY PACKAGE.  SHRINK WRAP MAY HAVE SOME TEARS.  BOX AND ,0,410,New other (see details),0,None,Unknown,32,iPad 4,12178,349
,0,168,Used,0,None,Black,16,iPad mini,12179,209
,1,150,Used,1,AT&T,Unknown,64,iPad 2,12180,429
Good condition and fully functional,1,60,Used,0,None,White,16,iPad 1,12181,149
,1,200,Used,0,None,Unknown,16,iPad Air,12182,399
,1,149,Used,0,None,White,16,iPad mini,12183,209
I USED 1 WEEK . I GOT GIFT NEW IPAD BECAUSE I DON&#039;T NEED 2 IPADS.,0,50,Used,0,None,Black,Unknown,Unknown,12184,NA
Perfect working order!! No chips or dings...very nice condition.,1,220,Used,1,Verizon,Unknown,16,iPad 4,12185,429
"Fully functional, in excellent condition. All original paperwork and packaging is included.",1,249.99,Used,1,Verizon,Unknown,64,iPad 3,12186,479
,1,325,Used,0,None,Space Gray,32,iPad Air,12187,499
,1,150,Used,1,AT&T,Black,Unknown,iPad 2,12188,NA
,1,149,Used,1,Verizon,Unknown,32,iPad 2,12189,379
,1,50,Used,0,None,Black,16,iPad mini,12190,209
,1,299,Used,0,None,Black,64,iPad 3,12191,349
Excellent condition,1,300,Used,0,None,Unknown,16,iPad Air,12192,399
,0,214.98,New,0,None,White,16,iPad mini,12193,209
,0,150.99,Used,0,None,Unknown,16,iPad 2,12194,199
Item has original packaging. Original packaging has stickers on box. Device has heavy scratches and ,0,199.99,Used,0,None,Unknown,32,iPad mini,12195,249
,1,89,Used,0,None,Black,16,iPad 2,12196,199
Excellent condition except for one nick on the corner shown in pics.,0,299.99,Used,1,AT&T,Unknown,32,iPad 3,12197,429
"Corner dings, minor wear on back.",0,90,Seller refurbished,0,None,Black,32,iPad 1,12198,199
,1,199,Used,0,None,Black,64,iPad 3,12199,349
Small cosmetic scratches and or dings nothing major,1,75,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12200,NA
,1,0.99,Used,1,Other,Unknown,32,iPad 1,12201,329
Works perfect. As shown,0,300,Used,0,None,Unknown,32,iPad mini,12202,249
,1,289,Used,0,None,Black,16,iPad 3,12203,249
"Excellent condition, not a scratch on it. Very sparingly used.",1,250,Used,0,None,Unknown,16,iPad 4,12204,299
excellent condition!,1,0.99,Used,Unknown,Unknown,Unknown,Unknown,iPad Air 2,12205,NA
,1,200,New,0,None,Space Gray,16,iPad Air 2,12206,499
Good condition,0,179.99,Used,0,None,Unknown,16,iPad 2,12207,199
,1,140,Used,1,AT&T,White,64,iPad 3,12208,479
"Previously owned condition and showing a little wear from use, handling, and storage.  The keyboard ",1,339,Used,Unknown,Other,Unknown,16,iPad Air 2,12209,499
â€œUsed Apple Ipad 16 gig 1st generation in Great working condition and 100% functional.Very little ,0,109,Seller refurbished,0,None,Black,32,iPad 1,12210,199
Will have cosmetic damage,0,199.99,Used,0,None,Unknown,64,iPad 2,12211,299
,1,400,Used,1,AT&T,White,128,iPad mini 2,12212,579
"Opened box, functional, no cosmetic damages, includes accessories. Please contact us with any ",1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12213,NA
,1,150,Used,0,None,Unknown,16,iPad mini,12214,209
"The iPad is in great shape, having been gently used and covered since purchase.  The Speck cover is ",1,0.01,Used,0,None,Black,16,iPad mini,12215,209
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,162,Used,1,Verizon,White,16,iPad 2,12216,329
Super clean with box.,1,149.95,Used,0,None,Black,16,iPad 2,12217,199
,0,172,Used,0,None,White,16,iPad 2,12218,199
"Like new, barely used",1,190.99,Used,0,None,Black,16,Unknown,12219,299
This iPad has been converted from 3G capable to WIFI ONLY.,0,150,Used,0,None,Black,64,iPad 2,12220,299
Has the normal wear that you would expect from a used item.,1,89.95,Used,0,None,Unknown,32,iPad 1,12221,199
,0,300,Used,0,None,White,64,iPad 2,12222,299
Ipad is in GOOD CONDITION. No screen scratch. Only a small scratch from a corner of the Ipad. Works ,0,350,Used,0,None,Unknown,64,iPad 2,12223,299
CLEAN ESN &amp; READY TO BE CONNECTED TO THE SPRINT NETWORK,1,499.99,Used,1,Sprint,Gold,64,iPad Air 2,12224,729
IPAD mini .. not sure of what generation it can be.. selling as is or best offer..had a crack but ,0,149.99,Used,Unknown,Unknown,Unknown,16,Unknown,12225,299
,1,180,Used,1,Verizon,Black,64,iPad 2,12226,429
,1,50,New,0,None,White,16,iPad Air,12227,399
,1,324.99,New other (see details),0,None,Unknown,16,iPad Air 2,12228,499
,1,58,Used,0,None,Unknown,32,iPad 1,12229,199
,1,197.97,Used,0,None,Unknown,64,iPad mini 3,12230,499
iPad is fully functional. Some dings and scratches on the body I&#039;ve tried to make clear in the ,1,85,Used,0,None,Unknown,32,iPad 3,12231,299
"Refurbished by Best Buy Geek Squad Comes With Apple Manufactures Warranty Good till March 28, 2016",1,0.99,Seller refurbished,1,Unknown,Gold,16,iPad Air 2,12232,629
14 Days Warranty. Product has some sign of wear and scratches from previous use. (Please see ,0,79.99,Seller refurbished,1,AT&T,Black,16,iPad 1,12233,279
,1,0.99,Used,1,AT&T,Black,16,iPad 1,12234,279
,0,98,Used,0,None,Black,32,iPad 1,12235,199
somescratches on the back ans corners. works  great. barely used. kids played  games only,1,119.98,Used,0,None,Unknown,16,iPad mini,12236,209
"Used for under a week, mint condition",1,0.99,Used,0,None,Gold,64,iPad Air 2,12237,599
,0,350,Used,1,AT&T,Unknown,32,iPad Air,12238,579
,1,350,New,0,None,Unknown,16,iPad Air,12239,399
Good Condition! Fully Functional!,1,0.99,Seller refurbished,0,None,Black,32,iPad 1,12240,199
,1,169.99,Used,0,None,Black,16,Unknown,12241,299
,0,315,Used,1,Verizon,Black,64,iPad mini,12242,409
,0,100,Used,0,None,Black,16,iPad 1,12243,149
,1,49.99,Used,1,Verizon,Unknown,64,iPad 2,12244,429
FULLY FUNCTIONAL,1,0.99,Seller refurbished,1,AT&T,Black,16,iPad 1,12245,279
excellent condition barely any scratches,0,275,Used,1,T-Mobile,White,16,iPad mini 2,12246,429
Will have some cosmetic damage.,0,255,Used,1,AT&T,Unknown,16,iPad 4,12247,429
GOOD CONDITION,1,89.99,Used,0,None,Unknown,16,iPad Air,12248,399
,1,375,Used,0,None,White,32,iPad Air,12249,499
Will have some cosmetic damage.,0,344,Used,1,AT&T,Unknown,64,iPad 4,12250,529
Used only once! Includes original box and charger,0,199,Used,0,None,Unknown,16,iPad mini,12251,209
Marks and scuffs.,1,350,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12252,NA
,1,249.97,Manufacturer refurbished,1,Unknown,Black,64,iPad 2,12253,429
Used IPad for sale but in excellent condition. No defect or damage.,1,45,Used,0,None,Black,16,iPad 1,12254,149
,0,588.18,New,1,AT&T,White,64,iPad 4,12255,529
Item that has been restored to working order item is not in original packaging item may have light ,0,375.99,Seller refurbished,0,None,White,64,iPad Air,12256,599
,1,249,Used,0,None,Unknown,16,iPad 3,12257,249
These units are in great working condition.  All three have minor scratching around the headphone ,0,494.5,Used,0,None,Black,16,iPad 3,12258,249
,0,155,Used,0,None,Unknown,16,iPad 1,12259,149
OPENED BOX TO MAKE SURE ITEM IS THERE. PLASTIC STILL ON IPAD,1,0.99,New other (see details),0,None,White,32,iPad Air,12260,499
I&#039;m great condition! Rarely ever been used and has always been in a case.,1,199.99,Used,0,None,Unknown,16,iPad mini,12261,209
,0,559.99,New,0,None,Space Gray,64,iPad Air 2,12262,599
,1,0.99,Used,1,Unknown,Unknown,16,Unknown,12263,429
,1,99,Used,0,None,Space Gray,16,iPad 2,12264,199
,1,1,Manufacturer refurbished,0,None,White,16,iPad 2,12265,199
,0,370,New,0,None,Unknown,16,iPad mini,12266,209
,0,450,Used,1,T-Mobile,Unknown,16,iPad Air,12267,529
,1,178.99,New other (see details),0,None,Unknown,16,iPad mini,12268,209
"This item is in Fair cosmetic condition. 100% Fully Functional, Clean IMEI &amp; iCloud, professionally ",0,158.99,Used,0,None,Black,32,iPad 2,12269,249
In excellent condition. Barely used.,1,249,Used,0,None,Space Gray,32,iPad mini 2,12270,349
,1,1,New,0,None,White,16,iPad mini,12271,209
,1,300,Used,0,None,Unknown,128,iPad Air,12272,699
"few minor scratches and bumps, great condition",1,175,Used,0,None,Unknown,Unknown,Unknown,12273,NA
,1,174.99,Seller refurbished,0,None,Black,16,iPad mini,12274,209
,1,199.99,Used,0,None,Unknown,16,iPad mini 3,12275,399
IPAD IS IN GREAT CONDITION. IT HAS NO DENTS OR SCRATCHES. IPAD HAS BEEN FACTORY RESET.,0,249.99,Used,0,None,Space Gray,16,iPad mini,12276,209
,0,399.99,Manufacturer refurbished,1,Unknown,Unknown,32,iPad Air,12277,579
,1,199.99,Used,Unknown,Unknown,Unknown,16,iPad Air,12278,399
,0,175,Used,0,None,Black,16,iPad 2,12279,199
,1,279.99,Used,0,None,White,16,iPad 4,12280,299
Has been covered with a Zagg InvisibleShield since it came out of the box and kept in a case.  Front ,0,449.99,Used,0,None,Space Gray,64,iPad Air,12281,599
,0,588.18,New,1,AT&T,White,64,iPad 4,12282,529
,1,230,Used,1,Unknown,Unknown,64,Unknown,12283,529
,0,625,Used,1,Unknown,Space Gray,64,iPad Air 2,12284,729
,1,165,Used,0,None,White,16,iPad 2,12285,199
,1,595,New,1,Unknown,White,128,iPad Air 2,12286, 829
it is LOCKED  otherwise good condition.,0,199,Used,Unknown,Unknown,Unknown,Unknown,iPad mini 2,12287,NA
NO RETAIL BOX !!!,0,334.95,Used,1,Sprint,Black,64,iPad mini,12288,409
,1,300,New,Unknown,Unknown,Unknown,Unknown,iPad mini 2,12289,NA
"very nice and clean works like new, few light  scratches one front and back, this is ready to use no ",0,175,Used,0,None,Unknown,16,iPad 2,12290,199
Has a cracked screen and has always been in an otter box.I had removed case to clean and my toddler ,1,250,Used,0,None,Unknown,16,iPad mini 2,12291,299
"This item is used and in Heavily Used condition. 100% Fully Functional, Clean IMEI (ESN) &amp; iCloud, ",0,347.24,Used,1,AT&T,Space Gray,64,iPad Air,12292,629
,0,214.95,Used,0,None,Unknown,16,Unknown,12293,299
,0,300,Used,0,None,Unknown,16,iPad 4,12294,299
Item is in great shape. It has a Zaag Invisible Shield screen protector installed. There is one ,0,160,Used,0,None,Unknown,16,iPad mini,12295,209
New in box but not sealed,0,549.99,New other (see details),0,None,Space Gray,64,iPad Air 2,12296,599
,1,150,Used,0,None,White,16,iPad mini,12297,209
,0,249.99,Used,1,Verizon,Black,32,iPad 3,12298,429
,0,150,Used,0,None,Unknown,16,iPad 2,12299,199
,0,509.99,New,1,Unknown,Space Gray,16,iPad Air,12300,529
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ",0,100,Used,1,AT&T,White,64,iPad 1,12301,379
,0,429.99,New,Unknown,Unknown,Space Gray,64,iPad mini 2,12302,399
,1,279.99,New,0,None,White,16,iPad mini,12303,209
,0,320.99,Used,0,None,Space Gray,16,iPad Air,12304,399
,1,90,New other (see details),0,None,Unknown,16,iPad mini,12305,209
,0,450,Used,1,AT&T,Black,32,iPad 3,12306,429
,0,99,Used,0,None,Black,16,iPad 1,12307,149
Like new,1,0.01,Used,0,None,Unknown,32,Unknown,12308,349
Minor scratches on screen and/or back. Dented on corner. Please refer to images.,0,164.99,Seller refurbished,0,None,White,16,iPad 2,12309,199
,1,0.99,Used,0,None,Unknown,64,iPad mini,12310,299
"*** Like new, Apple iPad Mini 3 Silver 128GB. Comes with AC adapter and lightning cable.",0,499.99,Seller refurbished,0,None,Gold,128,iPad mini 3,12311,599
Tablet is Good Working. Has been reset to the factory settings.,0,319.99,Used,0,None,Unknown,16,iPad Air,12312,399
,0,590,New,0,None,Gold,64,iPad Air 2,12313,599
,0,258.98,New,0,None,Unknown,16,iPad mini,12314,209
Good working condition and fully functional 32GB iPad 2 Wifi - Black. Please read full description.,1,169,Used,0,None,Black,32,iPad 2,12315,249
Item is in excellent condition. It does not have any visible cosmetic wear. See pictures for ,1,249.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12316,NA
,0,645.99,New,1,Unknown,Gold,64,iPad Air 2,12317,729
This item is in full working condition with all necessary charging components. Components may be ,0,211.95,Used,1,Verizon,Black,16,iPad 2,12318,329
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,245.19,Seller refurbished,0,None,Black,16,iPad 4,12319,299
,0,445.95,New,0,None,Space Gray,64,iPad mini 3,12320,499
"New in box, protective plastic still on",0,419.95,New other (see details),1,Verizon,Gold,16,iPad mini 3,12321,529
,1,0.99,Used,0,None,Unknown,64,iPad 4,12322,399
,0,389,New other (see details),1,T-Mobile,White,16,iPad Air,12323,529
,1,130,Used,0,None,White,64,iPad mini 2,12324,399
"Item is not in the original box. Shows signs of use, guaranteed in working order.",0,112.99,Seller refurbished,0,None,Black,32,iPad 1,12325,199
"&#034;&#034;Buy in Confidence I&#039;m serious person&#034;&#034; like New,sell because not used come with Original Box and ",0,375,Used,0,None,Unknown,32,iPad 4,12326,349
Only 6 weeks old in perfect condition,0,217,Used,0,None,White,16,iPad mini 2,12327,299
,0,499.99,New,0,None,Space Gray,16,iPad Air 2,12328,499
"In excellent used condition, in box, with charger, handstand swivel case and literature.",0,299.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12329,NA
,0,549,New,0,None,Unknown,64,iPad Air 2,12330,599
"The iPad mini 2 has absolutely no physical wear, scratches, dents, or technical issues of any kind, ",1,225,Used,0,None,Unknown,16,iPad mini 2,12331,299
,1,0.99,Used,0,None,White,16,iPad mini,12332,209
,0,279.99,Used,0,None,Unknown,32,iPad 2,12333,249
,0,438.99,New,0,None,Unknown,16,iPad Air 2,12334,499
,0,370,Used,0,None,White,16,iPad mini 3,12335,399
Perfect Condition! Only used for 1 week.,0,415,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12336,NA
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ",0,96,Used,1,AT&T,White,16,iPad 1,12337,279
,0,385,New,0,None,Unknown,16,iPad mini,12338,209
great condition,1,255,Used,0,None,Unknown,16,iPad Air,12339,399
"Never been used period, oped to activate , it will be shut off around a week after u receive it so u ",1,0.99,New other (see details),0,None,Gold,16,iPad mini 3,12340,399
Like new. Has a screen protector and has been in the otter box case since I have received it.,0,175,Used,0,None,Unknown,32,iPad 1,12341,199
,0,215,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12342,NA
,0,285,New,0,None,White,16,iPad mini,12343,209
,1,425,Used,0,None,White,16,iPad Air 2,12344,499
Showroom Display Item. Small Scratches On Backside.,0,399.94,New other (see details),0,None,Gold,16,iPad Air 2,12345,499
,1,300,New,0,None,Unknown,16,iPad Air 2,12346,499
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ,0,101,Used,1,AT&T,White,64,iPad 1,12347,379
Perfect working condition. See photos for actual item.,1,0.01,Used,0,None,Gold,64,iPad mini 3,12348,499
,0,329,New other (see details),0,None,Gold,16,iPad mini 3,12349,399
In great shape. All settings and memory reset to start up new.,0,280,Used,0,None,Unknown,16,Unknown,12350,299
,0,649.99,New,0,None,Space Gray,64,iPad Air 2,12351,599
,1,350,New,1,Unknown,Unknown,64,iPad Air 2,12352,729
FULLY FUNCTIONAL,1,0.99,Manufacturer refurbished,0,None,Black,16,iPad mini 2,12353,299
,1,0.99,Used,0,None,Gold,128,iPad Air 2,12354,699
Grade B devices have a small amount of visible wear and tear due to previous use and definitely No ,0,325,Used,1,Verizon,Space Gray,128,iPad Air,12355,679
"Lightly used,, upgraded  .too I Phone 5c 32gb Thank you for your interest.  Grade A comes with ",0,265.99,Used,1,Verizon,Unknown,32,iPad mini,12356,359
,1,200,Used,0,None,White,64,iPad mini,12357,299
,0,174.99,Used,0,None,Unknown,16,iPad mini,12358,209
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ,0,159.99,Used,0,None,White,16,iPad mini,12359,209
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,102,Used,1,AT&T,White,64,iPad 1,12360,379
,1,350,New,0,None,Black,16,iPad mini 2,12361,299
This iPad is in extremely good condition.  The only defect is on the top left corner where it had ,0,165,Used,0,None,White,32,iPad 2,12362,249
,0,799,New,1,Unknown,Space Gray,128,iPad Air 2,12363, 829
,1,595,Used,1,AT&T,Space Gray,128,iPad mini 2,12364,579
,0,280,Used,0,None,Black,16,iPad 4,12365,299
,1,125,Used,1,Unknown,Unknown,32,Unknown,12366,479
,1,165,Used,0,None,White,16,iPad 2,12367,199
,0,190.45,Used,1,Verizon,Unknown,64,iPad 1,12368,379
Mint condition. Not a single scratch. I got this iPad mini 3 as a bonus from the company I work for ,0,419.99,Used,0,None,Unknown,64,iPad mini 3,12369,499
,0,319.99,New,0,None,White,16,iPad mini 2,12370,299
Like New,0,399.95,Used,0,None,Unknown,16,iPad Air 2,12371,499
,0,449,New,1,AT&T,Space Gray,128,iPad mini 2,12372,579
This TAB is in average condition with some scratches on the housing or screen (does not affect ,0,91,Used,0,None,White,32,iPad 1,12373,199
,1,0.99,New,0,None,Black,16,iPad mini,12374,209
"100% working condition, No icloud blocks, tablet is ready for new user. See item description for ",0,170,Seller refurbished,0,None,Black,16,iPad mini,12375,209
"iPad looks and works good. Screen is new, back and edges will  have some scuffing.  Generic wall ",0,228.88,Seller refurbished,0,None,Unknown,32,iPad 3,12376,299
Item has been professionally tested and inspected. Tests show that all features work correctly. This ,0,150.99,Used,0,None,Black,32,iPad 2,12377,249
,1,650,New,0,None,Unknown,128,iPad Air 2,12378,699
"This item is Used &amp; in Heavily Used cosmetic condition - 100% Fully Functional, Clean IMEI &amp; iCloud, ",0,147.72,Used,1,AT&T,Black,32,iPad 2,12379,379
,0,179.99,Used,0,None,Space Gray,16,iPad mini,12380,209
,0,115,Used,1,AT&T,Unknown,16,iPad 2,12381,329
,0,271,New,0,None,Unknown,16,iPad mini,12382,209
,0,200,Used,Unknown,Unknown,White,Unknown,Unknown,12383,NA
"Device is in GOOD used cosmetic condition with normal scratches &amp; wear, engravement on the housing. ",0,189.95,Used,1,AT&T,Unknown,64,iPad 2,12384,429
Excellent used condition- barely used,0,400,Used,0,None,White,64,iPad 4,12385,399
Professionally refurbished and cleaned in excellent cosmetic and working condition. Units come with ,0,349.99,Seller refurbished,1,AT&T,White,32,iPad 4,12386,479
,0,650,New,1,AT&T,White,128,iPad 4,12387,589
Good condition and functional 32GB iPad Mini Wifi - Black. Please read full discription,1,179,Used,0,None,Black,32,iPad mini,12388,249
,0,315,Used,0,None,White,16,iPad mini 2,12389,299
,0,680,New,1,Unknown,Gold,64,iPad Air 2,12390,729
,1,149.99,Used,0,None,Black,16,iPad 3,12391,249
"100% functional, no damage.",1,0.01,Used,0,None,Black,64,iPad 2,12392,299
,0,280,Used,0,None,Unknown,64,iPad 2,12393,299
"*** Like new, Apple iPad Mini 3 WiFi+4G Silver 128GB. Comes with AC adapter and lightning cable.",0,599.99,Seller refurbished,1,Unknown,White,128,iPad mini 3,12394,729
,0,795,New,1,Unknown,Gold,128,iPad Air 2,12395, 829
,0,329.99,Used,0,None,Space Gray,16,iPad Air,12396,399
,0,275,Used,1,Verizon,Black,16,iPad mini,12397,309
,0,324.99,Used,0,None,White,32,iPad 4,12398,349
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,154,Used,1,Verizon,White,32,iPad 2,12399,379
,0,299.95,Used,0,None,White,16,iPad 4,12400,299
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,284,Used,1,Unknown,White,32,iPad 4,12401,479
,0,199.99,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,12402,NA
,1,35,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12403,NA
,0,499.99,New,1,Unknown,Gold,16,iPad mini 3,12404,529
It shows a fair amount of cosmetic wear but other than that perfectly working. Please check ,0,250,Used,1,Verizon,Black,16,iPad 2,12405,329
Only used twice to download pictures.,1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12406,NA
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ,0,159.99,Used,0,None,White,16,iPad 2,12407,199
,0,70,Used,0,None,White,16,iPad 1,12408,149
,0,165,Used,0,None,Black,16,iPad mini,12409,209
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ,0,249.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12410,NA
,0,229.99,Used,0,None,White,16,iPad 2,12411,199
,0,749.95,New,0,None,Unknown,128,iPad Air 2,12412,699
,1,99,New,0,None,Gold,16,iPad mini 3,12413,399
,0,740,New,1,Unknown,Space Gray,64,iPad Air 2,12414,729
"Near mint, thin scratch on Apple logo",1,320,Used,1,Unknown,Black,128,iPad Air,12415,679
Works GREAT.SCreen has just minor wear and back looks fine.Its corners and edges have some minor ,0,149,Used,1,Verizon,Black,16,iPad 2,12416,329
,0,426.3,New,Unknown,Unknown,Black,Unknown,Unknown,12417,NA
,0,679.99,New,1,Unknown,Space Gray,16,Unknown,12418,429
Has dents on top two corners.  This listing does not include a charger.,0,279.99,Used,Unknown,Unknown,Black,32,iPad 4,12419,349
"Great working condition, little nicks in the corners, screen looks and feels great, great standup ",0,200,Used,Unknown,Unknown,Black,Unknown,Unknown,12420,NA
,0,689.99,New,1,Unknown,White,64,iPad mini 3,12421,629
,0,460,New,0,None,Black,16,iPad mini 2,12422,299
,0,789.99,New,1,Unknown,Gold,64,iPad Air 2,12423,729
,0,634.99,New,0,None,Space Gray,128,iPad Air 2,12424,699
,0,899.99,New,1,Unknown,Space Gray,128,iPad Air 2,12425, 829
,0,324.99,Used,1,Verizon,Unknown,32,iPad 4,12426,479
,0,549.99,New,0,None,Unknown,128,iPad mini 3,12427,599
This item was opened by me after purchasing powered on once or twice for display purposes.  Still in ,0,285,New other (see details),0,None,White,16,iPad mini 2,12428,299
Light use.,1,389,Used,0,None,Unknown,16,Unknown,12429,299
"Excellent condition. Under Apple care November 09, 2015. Working and tested. Minor sign of use. ",0,295.95,Used,0,None,Gold,16,iPad mini 3,12430,399
,0,399.95,Manufacturer refurbished,1,T-Mobile,Unknown,16,iPad Air,12431,529
,1,0.99,Used,0,None,Space Gray,16,iPad mini 2,12432,299
"Brand new condition, iPad has been rarely used. Includes red ipad smart case. Includes original box.",0,300,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12433,NA
Works great will have to download your own iTunes account to set up your Icloud account,0,130,Used,Unknown,Unknown,Space Gray,Unknown,iPad 2,12434,NA
"***128gb***  black/space grey iPad Air EUC (no scratches, dents, or blemishes)",1,550,Used,Unknown,Unknown,Space Gray,128,Unknown,12435,449
,0,424.65,New,0,None,Gold,16,iPad Air 2,12436,499
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ,0,90,Used,0,None,White,16,iPad 1,12437,149
,0,475,New,0,None,Unknown,64,iPad mini 3,12438,499
"Overall very good condition, very minor signs of use.",0,659.49,Used,1,AT&T,Space Gray,128,iPad Air 2,12439, 829
,0,177.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12440,NA
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,204,Used,0,None,White,64,iPad 2,12441,299
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,406,Used,0,None,White,64,iPad 2,12442,299
"Pristine Condition, (9.75/10). No scratches, dents, or bent corners. Unit has a few tiny markings on ",0,285,Used,0,None,Black,16,iPad 4,12443,299
,0,229,Used,0,None,Unknown,64,iPad 1,12444,249
New Opened Box powered up only.,0,394.99,New other (see details),1,Unknown,Space Gray,16,iPad mini 3,12445,529
,0,450,New,0,None,Unknown,16,iPad Air 2,12446,499
Has a scratch,1,50,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12447,NA
Used a few times for my iPad. Great Condition. Bluetooth Pairing.,1,7.99,Used,Unknown,Unknown,Unknown,Unknown,iPad 4,12448,NA
"iPad Air 2, very good condition, Does not include original box, Includes Apple certified ",0,465.99,Seller refurbished,0,None,White,64,iPad Air 2,12449,599
,0,470,New other (see details),Unknown,Unknown,Unknown,Unknown,Unknown,12450,NA
,0,445,New,0,None,Gold,16,iPad Air 2,12451,499
"C Stock - Seller refurbished &amp; in Fair condition. 100% Fully Functional, Clean IMEI (ESN) &amp; iCloud, ",0,358.24,Seller refurbished,1,AT&T,Space Gray,64,iPad Air,12452,629
,0,749.95,New,0,None,Space Gray,128,iPad Air 2,12453,699
,0,320,Used,0,None,Black,16,iPad 4,12454,299
,0,639.99,New,Unknown,Unknown,White,Unknown,Unknown,12455,NA
,1,0.99,New,1,T-Mobile,White,64,iPad Air 2,12456,729
,0,399.99,New,0,None,Gold,16,iPad mini 3,12457,399
,0,639.99,New,0,None,Gold,128,iPad mini 3,12458,599
"Used Fully Functional, iPad ONLY.",0,154.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12459,NA
,0,408.6,New,Unknown,Unknown,Unknown,Unknown,Unknown,12460,NA
,1,0.99,New,0,None,Gold,64,iPad mini 3,12461,499
**MINT CONDITION** Original Owner,0,345,Used,Unknown,Unknown,Unknown,16,iPad 4,12462,299
,1,249,Used,0,None,White,16,Unknown,12463,299
,0,399,Used,Unknown,AT&T,White,32,Unknown,12464,349
,0,249,Seller refurbished,Unknown,Unknown,White,16,Unknown,12465,299
There are some scratches on the screen besides that it is in very good condition.,0,38.99,Used,Unknown,Unknown,Unknown,Unknown,iPad 4,12466,NA
Mint condition.,1,0.99,Used,1,Sprint,White,64,iPad mini 2,12467,529
Ipad air 2 128 gb ATT factory unlock open box for unlock the ipad,0,800,New other (see details),1,AT&T,Unknown,128,iPad Air 2,12468, 829
,0,500,New,0,None,White,64,Unknown,12469,399
,1,210,Used,Unknown,Unknown,Unknown,16,iPad mini 2,12470,299
EXCELLENT PRE OWNED CONDITION,1,9.99,Used,Unknown,Unknown,Black,Unknown,Unknown,12471,NA
,0,450,New other (see details),Unknown,Unknown,Unknown,Unknown,iPad mini 3,12472,NA
Used for demonstration purposes only.  Never sold.,0,475,Used,Unknown,Unknown,Unknown,Unknown,iPad mini,12473,NA
here we have space gray apple ipad mini a1432 no charger works great has small Knicks nothing major ,0,190,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12474,NA
,0,43.2,New,Unknown,Unknown,Unknown,Unknown,Unknown,12475,NA
,0,450,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12476,NA
,0,118.84,New,Unknown,Unknown,Unknown,Unknown,Unknown,12477,NA
,0,99.46,New,Unknown,Unknown,Unknown,Unknown,Unknown,12478,NA
,0,5.65,New,Unknown,Unknown,Unknown,Unknown,Unknown,12479,NA
,0,14.99,New,Unknown,Unknown,Unknown,Unknown,Unknown,12480,NA
,0,7.99,New,Unknown,Unknown,Unknown,Unknown,Unknown,12481,NA
,0,137.95,New,Unknown,Unknown,Unknown,Unknown,Unknown,12482,NA
,0,79.95,New,Unknown,Unknown,Unknown,Unknown,Unknown,12483,NA
,1,450,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12484,NA
,0,116.33,New,Unknown,Unknown,Unknown,Unknown,Unknown,12485,NA
,1,149,Used,0,None,Unknown,32,iPad mini 2,12486,349
,1,100,Seller refurbished,Unknown,Unknown,White,16,iPad 2,12487,199
,0,334,New,0,None,Space Gray,16,iPad mini 3,12488,399
,0,339.5,New,0,None,Gold,16,iPad mini 3,12489,399
,1,280,New,0,None,White,32,iPad Air,12490,499
,1,120,Used,0,None,White,16,iPad 2,12491,199
,1,235,Seller refurbished,1,AT&T,Space Gray,16,iPad mini 2,12492,429
,1,55,Used,1,AT&T,Unknown,16,iPad 1,12493,279
